time,open,close
2023-06-12T14:55:00Z,31296,31293
2023-06-12T15:00:00Z,31290,31327
2023-06-12T15:05:00Z,31325,31274
2023-06-12T15:10:00Z,31270,31265
2023-06-12T15:15:00Z,31265,31271
2023-06-12T15:20:00Z,31275,31278
2023-06-12T15:25:00Z,31274,31277
2023-06-12T15:30:00Z,31280,31262
2023-06-12T15:35:00Z,31262,31264
2023-06-12T15:40:00Z,31263,31219
2023-06-12T15:45:00Z,31227,31228
2023-06-12T15:50:00Z,31219,31247
2023-06-12T15:55:00Z,31253,31268
2023-06-12T16:00:00Z,31269,31243
2023-06-12T16:05:00Z,31231,31237
2023-06-12T16:10:00Z,31236,31236
2023-06-12T16:15:00Z,31245,31207
2023-06-12T16:20:00Z,31210,31230
2023-06-12T16:25:00Z,31230,31203
2023-06-12T16:30:00Z,31208,31206
2023-06-12T16:35:00Z,31220,31255
2023-06-12T16:40:00Z,31259,31246
2023-06-12T16:45:00Z,31243,31243
2023-06-12T16:50:00Z,31246,31206
2023-06-12T16:55:00Z,31202,31198
2023-06-12T17:00:00Z,31205,31200
2023-06-12T17:05:00Z,31194,31195
2023-06-12T17:10:00Z,31192,31171
2023-06-12T17:15:00Z,31168,31135
2023-06-12T17:20:00Z,31132,31147
2023-06-12T17:25:00Z,31143,31129
2023-06-12T17:30:00Z,31127,31105
2023-06-12T17:35:00Z,31108,31071
2023-06-12T17:40:00Z,31073,31048
2023-06-12T17:45:00Z,31046,31071
2023-06-12T17:50:00Z,31070,31048
2023-06-12T17:55:00Z,31054,31057
2023-06-12T18:00:00Z,31067,31108
2023-06-12T18:05:00Z,31085,31046
2023-06-12T18:10:00Z,31046,31068
2023-06-12T18:15:00Z,31073,31075
2023-06-12T18:20:00Z,31075,31081
2023-06-12T18:25:00Z,31079,31070
2023-06-12T18:30:00Z,31062,31050
2023-06-12T18:35:00Z,31060,31062
2023-06-12T18:40:00Z,31067,31023
2023-06-12T18:45:00Z,31020,31019
2023-06-12T18:50:00Z,31022,31013
2023-06-12T18:55:00Z,31013,30983
2023-06-12T19:00:00Z,30982,30922
2023-06-12T19:05:00Z,30925,30969
2023-06-12T19:10:00Z,30971,31012
2023-06-12T19:15:00Z,31016,31022
2023-06-12T19:20:00Z,31022,31030
2023-06-12T19:25:00Z,31031,31053
2023-06-12T19:30:00Z,31051,31037
2023-06-12T19:35:00Z,31037,31028
2023-06-12T19:40:00Z,31020,31019
2023-06-12T19:45:00Z,31020,31017
2023-06-12T19:50:00Z,31017,31009
2023-06-12T19:55:00Z,31013,31011
2023-06-12T20:00:00Z,31010,31000
2023-06-12T20:05:00Z,31006,31008
2023-06-12T20:10:00Z,31012,31013
2023-06-12T20:15:00Z,31011,31027
2023-06-12T20:20:00Z,31024,31040
2023-06-12T20:25:00Z,31036,31039
2023-06-12T20:30:00Z,31033,31020
2023-06-12T20:35:00Z,31018,31013
2023-06-12T20:40:00Z,31009,30981
2023-06-12T20:45:00Z,30980,30946
2023-06-12T20:50:00Z,30945,30923
2023-06-12T20:55:00Z,30923,30915
2023-06-12T21:00:00Z,30913,30957
2023-06-12T21:05:00Z,30959,30960
2023-06-12T21:10:00Z,30960,30964
2023-06-12T21:15:00Z,30965,30959
2023-06-12T21:20:00Z,30958,30983
2023-06-12T21:25:00Z,30977,30981
2023-06-12T21:30:00Z,30982,30981
2023-06-12T21:35:00Z,30981,30981
2023-06-12T21:40:00Z,30980,30957
2023-06-12T21:45:00Z,30957,30933
2023-06-12T21:50:00Z,30927,30935
2023-06-12T21:55:00Z,30934,30940
2023-06-12T22:00:00Z,30936,30896
2023-06-12T22:05:00Z,30895,30954
2023-06-12T22:10:00Z,30957,31000
2023-06-12T22:15:00Z,31012,31024
2023-06-12T22:20:00Z,31025,31019
2023-06-12T22:25:00Z,31030,31022
2023-06-12T22:30:00Z,31021,31016
2023-06-12T22:35:00Z,31013,30970
2023-06-12T22:40:00Z,30967,30980
2023-06-12T22:45:00Z,30988,31003
2023-06-12T22:50:00Z,31008,31023
2023-06-12T22:55:00Z,31023,31027
2023-06-12T23:00:00Z,31026,31031
2023-06-12T23:05:00Z,31029,31040
2023-06-12T23:10:00Z,31034,31027
2023-06-12T23:15:00Z,31026,31017
2023-06-12T23:20:00Z,31017,31010
2023-06-12T23:25:00Z,31015,31010
2023-06-12T23:30:00Z,31011,30980
2023-06-12T23:35:00Z,30980,30956
2023-06-12T23:40:00Z,30954,31040
2023-06-12T23:45:00Z,31037,31050
2023-06-12T23:50:00Z,31051,31039
2023-06-12T23:55:00Z,31041,31032
2023-06-13T00:00:00Z,31032,31023
2023-06-13T00:05:00Z,31024,31023
2023-06-13T00:10:00Z,31021,31019
2023-06-13T00:15:00Z,31018,31012
2023-06-13T00:20:00Z,31020,31034
2023-06-13T00:25:00Z,31030,31055
2023-06-13T00:30:00Z,31057,31069
2023-06-13T00:35:00Z,31069,31038
2023-06-13T00:40:00Z,31040,31029
2023-06-13T00:45:00Z,31028,31046
2023-06-13T00:50:00Z,31034,31021
2023-06-13T00:55:00Z,31028,31074
2023-06-13T01:00:00Z,31074,31027
2023-06-13T01:05:00Z,31026,31056
2023-06-13T01:10:00Z,31042,31046
2023-06-13T01:15:00Z,31043,31082
2023-06-13T01:20:00Z,31083,31068
2023-06-13T01:25:00Z,31063,31051
2023-06-13T01:30:00Z,31051,31055
